재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 3분기말	전기말	전전기말	
 재무상태표, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_AdditionalPaidinCapital	            기타불입자본	217,600,838,650	217,600,838,650	
 재무상태표, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_Equity	            자본총계	1,500,644,707,719	1,388,842,876,801	
 재무상태표, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_IssuedCapital	            자본금	311,750,000,000	311,750,000,000	
 재무상태표, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_RetainedEarnings	            이익잉여금	976,911,106,847	864,199,509,990	
 재무상태표, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_EquityAndLiabilities	         자본과부채총계	10,308,986,975,044	9,837,208,318,803	
 재무상태표, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_Borrowings	            차입부채	8,021,022,215,185	7,713,370,109,341	
 재무상태표, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_BondsIssued	               사채	7,553,283,379,510	7,022,930,154,399	
 재무상태표, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_LoansReceived	               금융기관 차입금(사채 제외)	467,738,835,675	690,439,954,942	
 재무상태표, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_DeferredTaxLiabilities	            이연법인세부채	26,919,283,397	24,266,781,915	
 재무상태표, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_Liabilities	            부채총계	8,808,342,267,325	8,448,365,442,002	
 재무상태표, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_OtherFinancialLiabilities	            기타금융부채	678,549,369,037	629,547,873,866	
 재무상태표, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2025-09-30	3분기보고서	KRW	ifrs-full_OtherNonfinancialLiabilities	            기타부채	73,470,953,091	76,194,517,928	
