date,mkt_cap_kospi,daily_return_kospi,lag_mkt_cap_kospi,daily_return_kosdaq,lag_mkt_cap_kosdaq,weighted_market_return
2022-06-24,1862320799525167,0.02258978879325224,1821183820152396.0,0.05028136286010243,318142286764558.0,0.02670784291751757
2022-06-27,1890525944714878,0.014924364066593476,1862320799525167.0,0.027055844328935263,334693540051871.0,0.016772475843530834
2022-06-28,1906214561249121,0.008397448707700539,1890525944714878.0,-0.00141448222164553,334545524955124.0,0.006922198304140096
2022-06-29,1871275785944460,-0.01820741590940067,1906214561249121.0,-0.00930462242206076,334683635302411.0,-0.016877761892419973
2022-06-30,1835493487294140,-0.01907072779952812,1871275785944460.0,-0.02218141273693186,331666597471280.0,-0.019539060651426934
2022-07-01,1814290027911482,-0.011669181699704989,1835493487294140.0,-0.021410173857050907,325164482012359.0,-0.013135135457368205
2022-07-04,1810669975467947,-0.00220350304933592,1814290027911482.0,-0.00925316663924991,318801893238906.0,-0.003257112636844883
2022-07-05,1842519184614780,0.018014728257562007,1810669975467947.0,0.039046393535622004,315450102342663.0,0.021135173350782015
2022-07-06,1804225454331245,-0.02125306390865067,1842519184614780.0,-0.008416006391903652,327057896313900.0,-0.019317912093491065
2022-07-07,1837885177758676,0.018437964930344775,1804225454331245.0,0.01791493762002605,324728172843930.0,0.018358187850816447
2022-07-08,1850893574322830,0.007000047123940201,1837885177758676.0,0.011227357283269734,330995391053553.0,0.007645181853538617
2022-07-11,1843259953057437,-0.004398858168730757,1850893574322830.0,0.0007306126709110128,334753996120748.0,-0.003613227912153553
2022-07-12,1824994120120650,-0.009618548287163353,1843259953057437.0,-0.021198372966207746,335524647011279.0,-0.011401797805158997
2022-07-13,1832979141831765,0.004681243959685277,1824994120120650.0,0.016516156530541615,328272561873519.0,0.006485515163838263
2022-07-14,1829593431864512,-0.0027011822503553162,1832979141831765.0,0.0037998899342226444,333169863098839.0,-0.001701268890378079
2022-07-15,1837255296447759,0.003729029591098554,1829593431864512.0,-0.004816729323308344,334610536948123.0,0.002407758111983888
2022-07-18,1873107660090225,0.01899201194347433,1837255296447759.0,0.01879615419929448,342387086112776.0,0.01896124581281964
2022-07-19,1869397059664922,-0.0018019155878329363,1873107660090225.0,0.007222679987640257,349013967985744.0,-0.0003844819642784623
2022-07-20,1881643042748411,0.006697680696086561,1869397059664922.0,0.01072437462451914,351550342875987.0,0.007335059874709884
2022-07-21,1899062118323927,0.009347047363680083,1881643042748411.0,0.005602488870902311,355312983095515.0,0.008752270250016186
2022-07-22,1886496918197095,-0.006649620614654017,1899062118323927.0,-0.006791171477079749,357733545683863.0,-0.00667205839788701
2022-07-25,1894263511279219,0.004408434107490589,1886496918197095.0,-7.597340930665109e-05,355384475657580.0,0.003697562953307128
2022-07-26,1901214430487026,0.003856570522821068,1894263511279219.0,0.0003039167268166221,355144878350457.0,0.003295664461467307
2022-07-27,1903522364034007,0.0010650818911213111,1901214430487026.0,0.007304444697631585,355173673947398.0,0.0020472078856361015
2022-07-28,1919419876553481,0.008172119576241865,1903522364034007.0,0.0032926982531105153,357673315428518.0,0.007400298358879629
2022-07-29,1931903737357025,0.006664558755292038,1919419876553481.0,0.006638941777733276,360161550116531.0,0.006660511411231886
2022-08-01,1932452046409936,0.00030593514175003556,1931903737357025.0,0.004965033224658466,363327090142570.0,0.0010434542308414116
2022-08-02,1922819213953983,-0.0051503721072484465,1932452046409936.0,-0.004048984039325854,365116133528533.0,-0.0049753459398486485
2022-08-03,1939571960420947,0.008948114870348522,1922819213953983.0,0.013700673844394107,363794093278157.0,0.009704234358171637
2022-08-04,1948549233283342,0.004737045237563242,1939571960420947.0,0.012019230769230616,368803438244635.0,0.0059005020408053836
2022-08-05,1962992757832162,0.007152936990267422,1948549233283342.0,0.007853022444131996,373558759026534.0,0.007265560112975006
2022-08-08,1964010918476120,0.0009233981050262852,1962992757832162.0,-0.0009379058246355987,376514340450709.0,0.0006238445700234082
2022-08-09,1971839855165800,0.004155469094701436,1964010918476120.0,0.003357966444407001,376117150324373.0,0.004027290458581478
