month,ticker,name,lstg_st_cnt,mkt_cap
2020-06,300720,한일시멘트,4144970,338229552000
2020-07,300720,한일시멘트,4144970,351907953000
2020-08,300720,한일시멘트,6926154,547166166000
2020-09,300720,한일시멘트,6926154,567944628000
2020-10,300720,한일시멘트,6926154,552014473800
2020-11,300720,한일시멘트,6926154,638591398800
2020-12,300720,한일시멘트,6926154,727246170000
2021-01,300720,한일시멘트,6926154,723783093000
2021-02,300720,한일시멘트,6926154,803433864000
2021-03,300720,한일시멘트,6926154,1163593872000
2021-04,300720,한일시멘트,6926154,1028533869000
2021-05,300720,한일시멘트,6926154,1146278487000
2021-06,300720,한일시멘트,6926154,1104721563000
2021-07,300720,한일시멘트,6926154,1212076950000
2021-08,300720,한일시멘트,6926154,1634572344000
2021-09,300720,한일시멘트,69261540,1232855412000
2021-10,300720,한일시멘트,69261540,1336747722000
2021-11,300720,한일시멘트,69261540,1326358491000
2021-12,300720,한일시멘트,69261540,1454492340000
2022-01,300720,한일시멘트,69261540,1281338490000
2022-02,300720,한일시멘트,69261540,1253633874000
2022-03,300720,한일시멘트,69261540,1461418494000
2022-04,300720,한일시멘트,69261540,1430250801000
2022-05,300720,한일시멘트,69261540,1350600030000
2022-06,300720,한일시멘트,69261540,924641559000
2022-07,300720,한일시멘트,69261540,986976945000
2022-08,300720,한일시멘트,69261540,1059701562000
2022-09,300720,한일시멘트,69261540,786118479000
2022-10,300720,한일시멘트,69261540,782655402000
2022-11,300720,한일시멘트,69261540,851916942000
2022-12,300720,한일시멘트,69261540,806896941000
2023-01,300720,한일시멘트,69261540,824904941400
2023-02,300720,한일시멘트,69261540,826290172200
2023-03,300720,한일시멘트,69261540,896936943000
2023-04,300720,한일시멘트,69261540,864384019200
2023-05,300720,한일시멘트,69261540,891396019800
2023-06,300720,한일시멘트,69261540,855380019000
2023-07,300720,한일시멘트,69261540,845683403400
2023-08,300720,한일시멘트,69261540,874773250200
2023-09,300720,한일시멘트,69261540,831831095400
2023-10,300720,한일시멘트,69261540,844298172600
2023-11,300720,한일시멘트,69261540,877543711800
2023-12,300720,한일시멘트,69261540,885855096600
2024-01,300720,한일시멘트,69261540,834601557000
2024-02,300720,한일시멘트,69261540,840835095600
2024-03,300720,한일시멘트,69261540,851916942000
2024-04,300720,한일시멘트,69261540,908711404800
2024-05,300720,한일시멘트,69261540,960657559800
2024-06,300720,한일시멘트,69261540,928104636000
2024-07,300720,한일시멘트,69261540,1007755407000
2024-08,300720,한일시멘트,69261540,1023685561200
2024-09,300720,한일시멘트,69261540,953731405800
2024-10,300720,한일시멘트,69261540,982821252600
2024-11,300720,한일시멘트,69261540,996673560600
2024-12,300720,한일시멘트,69261540,1005677560800
2025-01,300720,한일시멘트,69261540,1065935100600
2025-02,300720,한일시멘트,69261540,1084635716400
2025-03,300720,한일시멘트,69261540,1099180639800
2025-04,300720,한일시멘트,69261540,1246707720000
2025-05,300720,한일시멘트,69261540,1273719720600
2025-06,300720,한일시멘트,69261540,1288957259400
2025-07,300720,한일시멘트,69261540,1440640032000
2025-08,300720,한일시멘트,69261540,1339518183600
2025-09,300720,한일시멘트,69261540,1326358491000
2025-10,300720,한일시멘트,69261540,1222466181000
2025-11,300720,한일시멘트,73545209,1290718417950
2025-12,300720,한일시멘트,73545209,1321607405730
2021-03,302440,SK바이오사이언스,76500000,9218250000000
2021-04,302440,SK바이오사이언스,76500000,11628000000000
2021-05,302440,SK바이오사이언스,76500000,11628000000000
2021-06,302440,SK바이오사이언스,76500000,12125250000000
2021-07,302440,SK바이오사이언스,76500000,13043250000000
2021-08,302440,SK바이오사이언스,76500000,23982750000000
2021-09,302440,SK바이오사이언스,76500000,20693250000000
2021-10,302440,SK바이오사이언스,76500000,17595000000000
2021-11,302440,SK바이오사이언스,76500000,21458250000000
2021-12,302440,SK바이오사이언스,76500000,17212500000000
2022-01,302440,SK바이오사이언스,76500000,12622500000000
2022-02,302440,SK바이오사이언스,76500000,11169000000000
2022-03,302440,SK바이오사이언스,76600000,12026200000000
2022-04,302440,SK바이오사이언스,76784046,10404238233000
2022-05,302440,SK바이오사이언스,76784046,10404238233000
2022-06,302440,SK바이오사이언스,76784046,7716796623000
2022-07,302440,SK바이오사이언스,76784046,9367653612000
2022-08,302440,SK바이오사이언스,76784046,8676597198000
2022-09,302440,SK바이오사이언스,76784046,6165758893800
2022-10,302440,SK바이오사이언스,76784046,5804873877600
2022-11,302440,SK바이오사이언스,76784046,6357719008800
2022-12,302440,SK바이오사이언스,76784046,5643627381000
2023-01,302440,SK바이오사이언스,76784046,5758803450000
2023-02,302440,SK바이오사이언스,76784046,5351848006200
2023-03,302440,SK바이오사이언스,76784046,5536129716600
2023-04,302440,SK바이오사이언스,76784046,5405596838400
2023-05,302440,SK바이오사이언스,76784046,6365397413400
2023-06,302440,SK바이오사이언스,76784046,6104331657000
2023-07,302440,SK바이오사이언스,76784046,5628270571800
2023-08,302440,SK바이오사이언스,76784046,5635948976400
2023-09,302440,SK바이오사이언스,76784046,5198279914200
2023-10,302440,SK바이오사이언스,76784046,4653113187600
2023-11,302440,SK바이오사이언스,76784046,5221315128000
2023-12,302440,SK바이오사이언스,76784046,5528451312000
2024-01,302440,SK바이오사이언스,76827750,4878562125000
2024-02,302440,SK바이오사이언스,76827750,4717223850000
2024-03,302440,SK바이오사이언스,76827750,4709541075000
2024-04,302440,SK바이오사이언스,76827750,4502106150000
2024-05,302440,SK바이오사이언스,76827750,3971994675000
2024-06,302440,SK바이오사이언스,76827750,4041139650000
2024-07,302440,SK바이오사이언스,76827750,4263940125000
2024-08,302440,SK바이오사이언스,76827750,4263940125000
2024-09,302440,SK바이오사이언스,76827750,4256257350000
2024-10,302440,SK바이오사이언스,78347293,4238588551300
2024-11,302440,SK바이오사이언스,78347293,3690157500300
2024-12,302440,SK바이오사이언스,78347293,3948703567200
2025-01,302440,SK바이오사이언스,78347293,3839017357000
2025-02,302440,SK바이오사이언스,78347293,3333677317150
2025-03,302440,SK바이오사이언스,78347293,3071213885600
2025-04,302440,SK바이오사이언스,78369145,3103418142000
2025-05,302440,SK바이오사이언스,78369145,3534448439500
2025-06,302440,SK바이오사이언스,78369145,3742126673750
2025-07,302440,SK바이오사이언스,78369145,3585388383750
2025-08,302440,SK바이오사이언스,78369145,3702942101250
2025-09,302440,SK바이오사이언스,78369145,3667675986000
2025-10,302440,SK바이오사이언스,78369145,3973315651500
2025-11,302440,SK바이오사이언스,78369145,4294629146000
2025-12,302440,SK바이오사이언스,78390997,3778446055400
2020-01,306200,세아제강,2836300,149189380000
2020-02,306200,세아제강,2836300,138978700000
2020-03,306200,세아제강,2836300,98703240000
2020-04,306200,세아제강,2836300,112742925000
2020-05,306200,세아제강,2836300,144934930000
2020-06,306200,세아제강,2836300,138127810000
2020-07,306200,세아제강,2836300,178403270000
2020-08,306200,세아제강,2836300,254132480000
2020-09,306200,세아제강,2836300,226336740000
2020-10,306200,세아제강,2836300,232292970000
2020-11,306200,세아제강,2836300,253848850000
2020-12,306200,세아제강,2836300,256685150000
2021-01,306200,세아제강,2836300,260372340000
2021-02,306200,세아제강,2836300,247608990000
2021-03,306200,세아제강,2836300,269164870000
2021-04,306200,세아제강,2836300,333265250000
2021-05,306200,세아제강,2836300,326174500000
2021-06,306200,세아제강,2836300,319083750000
2021-07,306200,세아제강,2836300,300647800000
2021-08,306200,세아제강,2836300,313411150000
2021-09,306200,세아제강,2836300,326174500000
2021-10,306200,세아제강,2836300,292138900000
2021-11,306200,세아제강,2836300,260939600000
2021-12,306200,세아제강,2836300,271150280000
2022-01,306200,세아제강,2836300,271433910000
2022-02,306200,세아제강,2836300,281360960000
2022-03,306200,세아제강,2836300,354537500000
2022-04,306200,세아제강,2836300,463735050000
2022-05,306200,세아제강,2836300,510534000000
2022-06,306200,세아제강,2836300,428281300000
2022-07,306200,세아제강,2836300,446717250000
2022-08,306200,세아제강,2836300,543151450000
2022-09,306200,세아제강,2836300,419772400000
2022-10,306200,세아제강,2836300,394245700000
2022-11,306200,세아제강,2836300,425445000000
2022-12,306200,세아제강,2836300,367300850000
2023-01,306200,세아제강,2836300,391125770000
2023-02,306200,세아제강,2836300,396231110000
2023-03,306200,세아제강,2836300,369569890000
2023-04,306200,세아제강,2836300,399067410000
2023-05,306200,세아제강,2836300,397932890000
2023-06,306200,세아제강,2836300,452389850000
2023-07,306200,세아제강,2836300,445582730000
2023-08,306200,세아제강,2836300,395096590000
2023-09,306200,세아제강,2836300,392260290000
2023-10,306200,세아제강,2836300,349148530000
2023-11,306200,세아제강,2836300,370137150000
2023-12,306200,세아제강,2836300,390274880000
2024-01,306200,세아제강,2836300,365599070000
2024-02,306200,세아제강,2836300,381765980000
2024-03,306200,세아제강,2836300,385453170000
2024-04,306200,세아제강,2836300,389991250000
2024-05,306200,세아제강,2836300,363330030000
2024-06,306200,세아제강,2836300,358791950000
2024-07,306200,세아제강,2836300,359642840000
2024-08,306200,세아제강,2836300,331847100000
2024-09,306200,세아제강,2836300,332130730000
2024-10,306200,세아제강,2836300,322770940000
2024-11,306200,세아제강,2836300,330712580000
2024-12,306200,세아제강,2836300,342341410000
2025-01,306200,세아제강,2836300,391125770000
2025-02,306200,세아제강,2836300,455793410000
2025-03,306200,세아제강,2836300,519042900000
2025-04,306200,세아제강,2836300,502025100000
2025-05,306200,세아제강,2836300,479334700000
2025-06,306200,세아제강,2836300,440761020000
2025-07,306200,세아제강,2836300,428281300000
2025-08,306200,세아제강,2836300,379213310000
2025-09,306200,세아제강,2836300,355955650000
2025-10,306200,세아제강,2836300,359359210000
2025-11,306200,세아제강,2836300,338370590000
2025-12,306200,세아제강,2836300,332697990000
2020-01,307950,현대오토에버,21000000,961800000000
2020-02,307950,현대오토에버,21000000,779100000000
2020-03,307950,현대오토에버,21000000,660450000000
2020-04,307950,현대오토에버,21000000,828450000000
2020-05,307950,현대오토에버,21000000,942900000000
2020-06,307950,현대오토에버,21000000,788550000000
2020-07,307950,현대오토에버,21000000,834750000000
2020-08,307950,현대오토에버,21000000,888300000000
2020-09,307950,현대오토에버,21000000,1299900000000
2020-10,307950,현대오토에버,21000000,1354500000000
2020-11,307950,현대오토에버,21000000,1688400000000
2020-12,307950,현대오토에버,21000000,2593500000000
2021-01,307950,현대오토에버,21000000,2572500000000
2021-02,307950,현대오토에버,21000000,2730000000000
2021-03,307950,현대오토에버,21000000,2478000000000
2021-04,307950,현대오토에버,27423982,2838382137000
2021-05,307950,현대오토에버,27423982,3098909966000
2021-06,307950,현대오토에버,27423982,3715949561000
2021-07,307950,현대오토에버,27423982,3510269696000
2021-08,307950,현대오토에버,27423982,3208605894000
2021-09,307950,현대오토에버,27423982,2701262227000
2021-10,307950,현대오토에버,27423982,3194893903000
2021-11,307950,현대오토에버,27423982,3071485984000
2021-12,307950,현대오토에버,27423982,3784509516000
2022-01,307950,현대오토에버,27423982,3565117660000
2022-02,307950,현대오토에버,27423982,2948078065000
2022-03,307950,현대오토에버,27423982,3304589831000
2022-04,307950,현대오토에버,27423982,3702237570000
2022-05,307950,현대오토에버,27423982,3674813588000
2022-06,307950,현대오토에버,27423982,3085197975000
2022-07,307950,현대오토에버,27423982,3441709741000
2022-08,307950,현대오토에버,27423982,3304589831000
2022-09,307950,현대오토에버,27423982,2838382137000
2022-10,307950,현대오토에버,27423982,3249741867000
2022-11,307950,현대오토에버,27423982,3044062002000
2022-12,307950,현대오토에버,27423982,2618990281000
2023-01,307950,현대오토에버,27423982,3071485984000
2023-02,307950,현대오토에버,27423982,3115364355200
2023-03,307950,현대오토에버,27423982,3087940373200
2023-04,307950,현대오토에버,27423982,3367664989600
2023-05,307950,현대오토에버,27423982,3455421732000
2023-06,307950,현대오토에버,27423982,3844842276400
2023-07,307950,현대오토에버,27423982,4195869246000
2023-08,307950,현대오토에버,27423982,4818393637400
2023-09,307950,현대오토에버,27423982,5117315041200
2023-10,307950,현대오토에버,27423982,3565117660000
2023-11,307950,현대오토에버,27423982,5073436670000
2023-12,307950,현대오토에버,27423982,5800172193000
2024-01,307950,현대오토에버,27423982,4058749336000
2024-02,307950,현대오토에버,27423982,4094400512600
2024-03,307950,현대오토에버,27423982,3949053408000
2024-04,307950,현대오토에버,27423982,4223293228000
2024-05,307950,현대오토에버,27423982,4058749336000
2024-06,307950,현대오토에버,27423982,4508502640800
2024-07,307950,현대오토에버,27423982,4505760242600
2024-08,307950,현대오토에버,27423982,4423488296600
2024-09,307950,현대오토에버,27423982,4286368386600
2024-10,307950,현대오토에버,27423982,3704979968200
2024-11,307950,현대오토에버,27423982,3839357480000
2024-12,307950,현대오토에버,27423982,3458164130200
2025-01,307950,현대오토에버,27423982,3921629426000
2025-02,307950,현대오토에버,27423982,3611738429400
2025-03,307950,현대오토에버,27423982,3271681052600
2025-04,307950,현대오토에버,27423982,3378634582400
2025-05,307950,현대오토에버,27423982,3932599018800
2025-06,307950,현대오토에버,27423982,4678531329200
2025-07,307950,현대오토에버,27423982,4226035626200
2025-08,307950,현대오토에버,27423982,4815651239200
2025-09,307950,현대오토에버,27423982,4187642051400
2025-10,307950,현대오토에버,27423982,5580780337000
2025-11,307950,현대오토에버,27423982,5539644364000
2025-12,307950,현대오토에버,27423982,9104762024000
2020-01,308170,센트랄모텍,8400000,317520000000
2020-02,308170,센트랄모텍,8400000,271320000000
2020-03,308170,센트랄모텍,8610000,221277000000
2020-04,308170,센트랄모텍,8610000,267771000000
2020-05,308170,센트랄모텍,8610000,288004500000
2020-06,308170,센트랄모텍,8610000,259591500000
2020-07,308170,센트랄모텍,8610000,239788500000
2020-08,308170,센트랄모텍,8610000,209653500000
2020-09,308170,센트랄모텍,8610000,188559000000
2020-10,308170,센트랄모텍,8610000,163159500000
2020-11,308170,센트랄모텍,8610000,188559000000
2020-12,308170,센트랄모텍,8610000,230317500000
2021-01,308170,센트랄모텍,8610000,237636000000
2021-02,308170,센트랄모텍,8610000,258300000000
2021-03,308170,센트랄모텍,8610000,249690000000
